epoch,train_loss,train_eval,test_loss,test_eval
14,1.107899751357948,[0.0; 0.0; 0.0; 0.0; 0.0],0.9966374301073844,[0.6293504238128662; 0.7176328897476196; 0.18825900554656982; 0.8674154281616211; 0.7622126936912537]
15,1.1053385618769833,[0.0; 0.0; 0.0; 0.0; 0.0],1.0340301174866526,[0.625342607498169; 0.6989530324935913; 0.1865243911743164; 0.8529126644134521; 0.7313153743743896]
16,1.0799499763295088,[0.0; 0.0; 0.0; 0.0; 0.0],0.9735756234118813,[0.6427234411239624; 0.7291706800460815; 0.22888700664043427; 0.8680386543273926; 0.7736158967018127]
17,1.0597863049959768,[0.0; 0.0; 0.0; 0.0; 0.0],0.9817537017035902,[0.6612211465835571; 0.7226651906967163; 0.21751174330711365; 0.8694291114807129; 0.7755014300346375]
18,1.0246111309817822,[0.0; 0.0; 0.0; 0.0; 0.0],0.9472839832305908,[0.6672763824462891; 0.7471593618392944; 0.25432178378105164; 0.869796633720398; 0.7834641933441162]
19,1.0164373460458078,[0.0; 0.0; 0.0; 0.0; 0.0],0.9420793819845769,[0.6764938831329346; 0.7433974742889404; 0.25503009557724; 0.8762490153312683; 0.7760171890258789]
20,0.9869516228734789,[0.0; 0.0; 0.0; 0.0; 0.0],0.959798184403202,[0.6730972528457642; 0.7179925441741943; 0.288504421710968; 0.8830559849739075; 0.7645382881164551]
21,0.9782265764198556,[0.0; 0.0; 0.0; 0.0; 0.0],0.9478044070695576,[0.6598315834999084; 0.7542812824249268; 0.28182724118232727; 0.8735547065734863; 0.7699403762817383]
22,0.9626036207407516,[0.0; 0.0; 0.0; 0.0; 0.0],0.9077887974287334,[0.696434497833252; 0.7624204158782959; 0.3095334470272064; 0.8766825199127197; 0.8002414703369141]
23,0.9486937507098874,[0.0; 0.0; 0.0; 0.0; 0.0],0.8933044159621523,[0.6924685835838318; 0.7611587047576904; 0.34346431493759155; 0.8695192337036133; 0.7877323627471924]
24,0.9262094137158089,[0.0; 0.0; 0.0; 0.0; 0.0],0.8850007621865523,[0.672431468963623; 0.7708812952041626; 0.3261590898036957; 0.8838880062103271; 0.779708981513977]
25,0.9153082970751832,[0.0; 0.0; 0.0; 0.0; 0.0],0.8705392971373441,[0.693190336227417; 0.7765898704528809; 0.34242188930511475; 0.8807116150856018; 0.7946668863296509]
26,0.9003536469625848,[0.0; 0.0; 0.0; 0.0; 0.0],0.8673159218671029,[0.7163304090499878; 0.7920634150505066; 0.3354015648365021; 0.8899624347686768; 0.806393027305603]
27,0.8896770315454495,[0.0; 0.0; 0.0; 0.0; 0.0],0.8903051321966606,[0.7111300230026245; 0.7659329771995544; 0.35969024896621704; 0.8869475722312927; 0.796089768409729]
28,0.8755822872483967,[0.0; 0.0; 0.0; 0.0; 0.0],0.8704523632400915,[0.7058172225952148; 0.7715566158294678; 0.37701672315597534; 0.8806469440460205; 0.7982742190361023]
29,0.8595084965097457,[0.0; 0.0; 0.0; 0.0; 0.0],0.8703276703232213,[0.6757116913795471; 0.7803561091423035; 0.3814333975315094; 0.8807079195976257; 0.8082206845283508]
