epoch,train_loss,train_eval,test_loss,test_eval
16,0.6710334299152787,[0.0; 0.0; 0.0; 0.0; 0.0],0.7028932780550238,[0.7046663165092468; 0.7661558389663696; 0.27912795543670654; 0.895750105381012; 0.7992362976074219]
17,0.662331851902387,[0.0; 0.0; 0.0; 0.0; 0.0],0.8001704623824671,[0.6993680596351624; 0.7969969511032104; 0.31077468395233154; 0.8971582651138306; 0.7272396087646484]
18,0.6401218392991073,[0.0; 0.0; 0.0; 0.0; 0.0],0.8361097114127979,[0.7424560785293579; 0.7674344778060913; 0.3806646168231964; 0.902093768119812; 0.7028990983963013]
19,0.6192007537182856,[0.0; 0.0; 0.0; 0.0; 0.0],0.7568807654213487,[0.710757851600647; 0.7929872870445251; 0.35439902544021606; 0.9005993604660034; 0.7948545217514038]
20,0.5959712702443795,[0.0; 0.0; 0.0; 0.0; 0.0],0.7053988690961871,[0.7271636128425598; 0.7970084547996521; 0.369720995426178; 0.9047026634216309; 0.8031743764877319]
21,0.6001449706275468,[0.0; 0.0; 0.0; 0.0; 0.0],0.826482539637047,[0.7302524447441101; 0.7023268938064575; 0.3567003905773163; 0.8937986493110657; 0.7991430759429932]
22,0.5738091235918714,[0.0; 0.0; 0.0; 0.0; 0.0],0.7145849696376867,[0.7516133785247803; 0.7571247220039368; 0.38861343264579773; 0.9016741514205933; 0.7811957597732544]
23,0.5622718988138582,[0.0; 0.0; 0.0; 0.0; 0.0],0.7088103932246828,[0.7029261589050293; 0.7989342212677002; 0.3584436774253845; 0.8995139598846436; 0.784419596195221]
24,0.5495918339188262,[0.0; 0.0; 0.0; 0.0; 0.0],0.6656035540396708,[0.7232983708381653; 0.795626163482666; 0.3922405242919922; 0.9089149832725525; 0.8153374195098877]
25,0.5290514258359442,[0.0; 0.0; 0.0; 0.0; 0.0],0.7200598727192795,[0.6874390244483948; 0.8121709227561951; 0.39971229434013367; 0.9107166528701782; 0.8082165718078613]
26,0.5233918354737574,[0.0; 0.0; 0.0; 0.0; 0.0],0.7628997334262781,[0.7202651500701904; 0.8377678394317627; 0.37478405237197876; 0.8995932340621948; 0.7965062260627747]
27,0.5153466018356762,[0.0; 0.0; 0.0; 0.0; 0.0],0.7515645476809719,[0.7065733075141907; 0.8274713754653931; 0.4151533246040344; 0.9122762680053711; 0.7949380874633789]
28,0.513190056182954,[0.0; 0.0; 0.0; 0.0; 0.0],0.7108901362670096,[0.7311687469482422; 0.8097655177116394; 0.3864738345146179; 0.9091325402259827; 0.8049156069755554]
29,0.49229579585014327,[0.0; 0.0; 0.0; 0.0; 0.0],0.7379358055298788,[0.7164857387542725; 0.8154457211494446; 0.38963794708251953; 0.9121447205543518; 0.8133090138435364]
30,0.48636384226102175,[0.0; 0.0; 0.0; 0.0; 0.0],0.7122979927481267,[0.7531615495681763; 0.7884048819541931; 0.3723696172237396; 0.9149949550628662; 0.7740752696990967]
31,0.48647360428016445,[0.0; 0.0; 0.0; 0.0; 0.0],0.6609196913869757,[0.7575616240501404; 0.8156562447547913; 0.39885473251342773; 0.9208102226257324; 0.843429446220398]
32,0.4642730511840079,[0.0; 0.0; 0.0; 0.0; 0.0],0.6857543870022422,[0.7629522681236267; 0.7727037072181702; 0.4100063145160675; 0.9168511629104614; 0.8152432441711426]
33,0.4466903040609086,[0.0; 0.0; 0.0; 0.0; 0.0],0.7498741421783179,[0.730633020401001; 0.8364604711532593; 0.39774465560913086; 0.9182220697402954; 0.8220571279525757]
34,0.45210412631498004,[0.0; 0.0; 0.0; 0.0; 0.0],0.745772311561986,[0.7369039058685303; 0.7981812357902527; 0.3614993095397949; 0.919061541557312; 0.7934694290161133]
35,0.4453029145073417,[0.0; 0.0; 0.0; 0.0; 0.0],0.6957112467079832,[0.7611966133117676; 0.8334788084030151; 0.4714393615722656; 0.9234961271286011; 0.8119066953659058]
36,0.42898151061392775,[0.0; 0.0; 0.0; 0.0; 0.0],0.7488315994279426,[0.7546568512916565; 0.8196018934249878; 0.40181440114974976; 0.924136757850647; 0.804394543170929]
37,0.4287994427659917,[0.0; 0.0; 0.0; 0.0; 0.0],0.7661288683874565,[0.7580586671829224; 0.8192577958106995; 0.40346959233283997; 0.9124745726585388; 0.8107572793960571]
38,0.40910690489983714,[0.0; 0.0; 0.0; 0.0; 0.0],0.7284725988120363,[0.7664898633956909; 0.8093249797821045; 0.4206724762916565; 0.9194045066833496; 0.8000544905662537]
39,0.39693629925877316,[0.0; 0.0; 0.0; 0.0; 0.0],0.6836820610782557,[0.7378420829772949; 0.8278743624687195; 0.44292348623275757; 0.9233518838882446; 0.8062966465950012]
40,0.39398568954162516,[0.0; 0.0; 0.0; 0.0; 0.0],0.7261729564583093,[0.7650827169418335; 0.848014235496521; 0.4779733419418335; 0.9237204790115356; 0.8037272095680237]
41,0.3886277319711302,[0.0; 0.0; 0.0; 0.0; 0.0],0.6912391980489095,[0.7655109167098999; 0.8282043933868408; 0.4566267430782318; 0.9196985363960266; 0.8213823437690735]
42,0.3730013533670118,[0.0; 0.0; 0.0; 0.0; 0.0],0.7465717667027524,[0.7731649875640869; 0.8265194892883301; 0.4804794192314148; 0.9183118343353271; 0.80926913022995]
43,0.36599631137142646,[0.0; 0.0; 0.0; 0.0; 0.0],0.7138014038403829,[0.7600162625312805; 0.8205726146697998; 0.4606582522392273; 0.9234494566917419; 0.7996718883514404]
44,0.3538724709688696,[0.0; 0.0; 0.0; 0.0; 0.0],0.7424957198009157,[0.7626522779464722; 0.8457980155944824; 0.4417223334312439; 0.923310399055481; 0.8224117755889893]
45,0.35437641166167017,[0.0; 0.0; 0.0; 0.0; 0.0],0.73546267287773,[0.7553998231887817; 0.8268225193023682; 0.44931548833847046; 0.9207806587219238; 0.7934237718582153]
46,0.35692901741589933,[0.0; 0.0; 0.0; 0.0; 0.0],0.7302393976010775,[0.7604975700378418; 0.8139635324478149; 0.4580262303352356; 0.9119769334793091; 0.8282595276832581]
47,0.3453038249978956,[0.0; 0.0; 0.0; 0.0; 0.0],0.7770788575473585,[0.7717679738998413; 0.8313031792640686; 0.4382064640522003; 0.9112913012504578; 0.819206178188324]
48,0.3387065195616244,[0.0; 0.0; 0.0; 0.0; 0.0],0.7302234768867493,[0.751283586025238; 0.8372809886932373; 0.46524304151535034; 0.9194416999816895; 0.8239912986755371]
49,0.328922326727945,[0.0; 0.0; 0.0; 0.0; 0.0],0.7667358172567267,[0.7498775720596313; 0.8381118774414062; 0.4566812515258789; 0.9213207960128784; 0.7905649542808533]
50,0.32159951447651086,[0.0; 0.0; 0.0; 0.0; 0.0],0.7528224200533148,[0.7833272218704224; 0.8388599157333374; 0.47665169835090637; 0.9263176918029785; 0.8005424737930298]
51,0.3123484220331078,[0.0; 0.0; 0.0; 0.0; 0.0],0.7369164113412824,[0.7753862142562866; 0.8232496976852417; 0.43826961517333984; 0.9230656027793884; 0.8108040690422058]
52,0.31634689679998435,[0.0; 0.0; 0.0; 0.0; 0.0],0.767341156800588,[0.7844842672348022; 0.8302922248840332; 0.4470350742340088; 0.9263942241668701; 0.8254519701004028]
53,0.3041387651666637,[0.0; 0.0; 0.0; 0.0; 0.0],0.7414806464262176,[0.7682704329490662; 0.8330024480819702; 0.5091062188148499; 0.923763632774353; 0.812341034412384]
54,0.29694219956598006,[0.0; 0.0; 0.0; 0.0; 0.0],0.7968357079907468,[0.7877544164657593; 0.845435619354248; 0.4848804175853729; 0.9259791374206543; 0.8004119396209717]
55,0.29548932825755864,[0.0; 0.0; 0.0; 0.0; 0.0],0.8029338090043319,[0.7766874432563782; 0.8387510776519775; 0.46354514360427856; 0.92768394947052; 0.8089303374290466]
56,0.28484893384621895,[0.0; 0.0; 0.0; 0.0; 0.0],0.8255803616423356,[0.7829116582870483; 0.8365952968597412; 0.48422911763191223; 0.924679160118103; 0.7950063943862915]
57,0.2800941897872794,[0.0; 0.0; 0.0; 0.0; 0.0],0.8480058741151241,[0.777704119682312; 0.8397576808929443; 0.4903962016105652; 0.9254732728004456; 0.8047153353691101]
58,0.2710263248179396,[0.0; 0.0; 0.0; 0.0; 0.0],0.8825604612367195,[0.7910689115524292; 0.8300913572311401; 0.4471554160118103; 0.92328941822052; 0.7987298965454102]
59,0.26958206335440377,[0.0; 0.0; 0.0; 0.0; 0.0],0.840179090959984,[0.7904906868934631; 0.8361657857894897; 0.48868846893310547; 0.9229981899261475; 0.7869608402252197]
60,0.2655091898199212,[0.0; 0.0; 0.0; 0.0; 0.0],0.8689877296748915,[0.7811475992202759; 0.822685182094574; 0.4642365574836731; 0.9250520467758179; 0.8115534782409668]
61,0.2607821293224562,[0.0; 0.0; 0.0; 0.0; 0.0],0.8441907637997678,[0.7881792783737183; 0.8171213269233704; 0.4571036100387573; 0.923099160194397; 0.8055939674377441]
62,0.26417714831055394,[0.0; 0.0; 0.0; 0.0; 0.0],0.7976421285093876,[0.7809281945228577; 0.8257481455802917; 0.4690088629722595; 0.9236488342285156; 0.8216854333877563]
63,0.2560686492762029,[0.0; 0.0; 0.0; 0.0; 0.0],0.8595488740686785,[0.7792162895202637; 0.8405225276947021; 0.4613656997680664; 0.9243103861808777; 0.814286470413208]
64,0.24909164508183798,[0.0; 0.0; 0.0; 0.0; 0.0],0.8649106391689234,[0.7815418243408203; 0.8410766124725342; 0.4837902784347534; 0.9282076358795166; 0.8055018186569214]
65,0.24040920723221423,[0.0; 0.0; 0.0; 0.0; 0.0],0.903781391026681,[0.7949264645576477; 0.8288663029670715; 0.4750782251358032; 0.9259934425354004; 0.7786427736282349]
66,0.23820295923329873,[0.0; 0.0; 0.0; 0.0; 0.0],0.9128847258132801,[0.7881371974945068; 0.8315144777297974; 0.45823192596435547; 0.9234143495559692; 0.7925617694854736]
67,0.23439828637025215,[0.0; 0.0; 0.0; 0.0; 0.0],0.8624049812032465,[0.7926629185676575; 0.835208535194397; 0.49524301290512085; 0.9286975860595703; 0.7907569408416748]
