epoch,train_loss,train_eval,test_loss,test_eval
13,0.9101250204555773,[0.0; 0.0; 0.0; 0.0; 0.0],0.969426853614941,[0.6940250396728516; 0.7925742268562317; 0.15398362278938293; 0.8847838044166565; 0.6798498034477234]
14,0.8894922751727746,[0.0; 0.0; 0.0; 0.0; 0.0],1.0053164666159111,[0.7389497756958008; 0.7840893864631653; 0.2647065222263336; 0.8834655284881592; 0.7005331516265869]
15,0.8663481689709964,[0.0; 0.0; 0.0; 0.0; 0.0],0.9641244704263252,[0.7090141773223877; 0.8039700984954834; 0.25448355078697205; 0.8821070194244385; 0.7332113981246948]
16,0.8289275875944175,[0.0; 0.0; 0.0; 0.0; 0.0],0.8562948661938048,[0.7742423415184021; 0.8220133781433105; 0.3390437364578247; 0.8951950073242188; 0.7619722485542297]
17,0.8305959693643431,[0.0; 0.0; 0.0; 0.0; 0.0],0.8654920343767133,[0.7361347079277039; 0.7966259717941284; 0.2607685923576355; 0.8947583436965942; 0.7865303754806519]
18,0.8223071972002783,[0.0; 0.0; 0.0; 0.0; 0.0],0.916960785263463,[0.7084603905677795; 0.8094265460968018; 0.3300749659538269; 0.888620138168335; 0.6908233165740967]
19,0.802942145476015,[0.0; 0.0; 0.0; 0.0; 0.0],0.8796889342759785,[0.7478195428848267; 0.7892258763313293; 0.3054107427597046; 0.8932899832725525; 0.720122218132019]
20,0.7833556732857727,[0.0; 0.0; 0.0; 0.0; 0.0],0.937677964829562,[0.6759190559387207; 0.8050975203514099; 0.3157898485660553; 0.8961526155471802; 0.786540150642395]
21,0.7623007704090599,[0.0; 0.0; 0.0; 0.0; 0.0],0.9061588728637026,[0.7559758424758911; 0.7979905605316162; 0.27770182490348816; 0.8934881091117859; 0.7743192911148071]
22,0.7424844970503127,[0.0; 0.0; 0.0; 0.0; 0.0],0.9024554721096105,[0.748017430305481; 0.8086541891098022; 0.2927074134349823; 0.8809401988983154; 0.7879644632339478]
23,0.7292201337435388,[0.0; 0.0; 0.0; 0.0; 0.0],0.9279263385555201,[0.7496384382247925; 0.8192788362503052; 0.37867602705955505; 0.9097692966461182; 0.6790202260017395]
24,0.7077475844103243,[0.0; 0.0; 0.0; 0.0; 0.0],0.8906120793861255,[0.7411233186721802; 0.8249783515930176; 0.3137407898902893; 0.8923354744911194; 0.7767177224159241]
25,0.7010491281155719,[0.0; 0.0; 0.0; 0.0; 0.0],0.8623200362188774,[0.7608733773231506; 0.7837964296340942; 0.39550307393074036; 0.9045270681381226; 0.7414617538452148]
26,0.673880636428892,[0.0; 0.0; 0.0; 0.0; 0.0],0.9152296300519976,[0.7573919296264648; 0.8137596845626831; 0.3716849088668823; 0.90391606092453; 0.7652187347412109]
27,0.6595204923852916,[0.0; 0.0; 0.0; 0.0; 0.0],0.8276140271571645,[0.7507684230804443; 0.8081868886947632; 0.3697482943534851; 0.9062812924385071; 0.812013566493988]
28,0.6416670273471352,[0.0; 0.0; 0.0; 0.0; 0.0],0.8820710276302538,[0.7625946998596191; 0.8134065270423889; 0.34181493520736694; 0.900566816329956; 0.795072078704834]
29,0.6332107629733896,[0.0; 0.0; 0.0; 0.0; 0.0],0.8148199738117686,[0.7415100336074829; 0.8283687829971313; 0.39650964736938477; 0.9077820777893066; 0.8037745952606201]
30,0.6188138220747049,[0.0; 0.0; 0.0; 0.0; 0.0],0.8213338987869129,[0.7387109398841858; 0.8340831398963928; 0.4029631018638611; 0.9113985896110535; 0.8145132064819336]
31,0.5984802197410044,[0.0; 0.0; 0.0; 0.0; 0.0],0.7868596723205165,[0.7627304196357727; 0.8232161998748779; 0.425290048122406; 0.9108169078826904; 0.7949168086051941]
32,0.5938399307775182,[0.0; 0.0; 0.0; 0.0; 0.0],0.8315893673060233,[0.7663154602050781; 0.8314297199249268; 0.4395323395729065; 0.9138505458831787; 0.7838199138641357]
33,0.5767946227496823,[0.0; 0.0; 0.0; 0.0; 0.0],0.8024600169114899,[0.7682329416275024; 0.7948508858680725; 0.36072251200675964; 0.9187701344490051; 0.829796314239502]
34,0.5726118745656467,[0.0; 0.0; 0.0; 0.0; 0.0],0.8984594669258386,[0.7653169631958008; 0.8340506553649902; 0.4026617109775543; 0.9201836585998535; 0.8173633217811584]
35,0.5505765073873086,[0.0; 0.0; 0.0; 0.0; 0.0],0.8727716646696392,[0.7477459907531738; 0.8410083055496216; 0.42102670669555664; 0.9135874509811401; 0.7936214208602905]
36,0.5475883452308099,[0.0; 0.0; 0.0; 0.0; 0.0],0.775904937794334,[0.7724707722663879; 0.8308895826339722; 0.47294121980667114; 0.9183829426765442; 0.806551456451416]
37,0.5502738682902675,[0.0; 0.0; 0.0; 0.0; 0.0],0.8209568554894966,[0.758355438709259; 0.8278406858444214; 0.4703075885772705; 0.9187365770339966; 0.7999024391174316]
38,0.5250658596851442,[0.0; 0.0; 0.0; 0.0; 0.0],0.8119713789538333,[0.7717559337615967; 0.8347009420394897; 0.4450570344924927; 0.9138011336326599; 0.8313798904418945]
39,0.5313081574229478,[0.0; 0.0; 0.0; 0.0; 0.0],0.9085347882488317,[0.7529178857803345; 0.829774796962738; 0.4002362787723541; 0.910569965839386; 0.8119809627532959]
40,0.5114942368029496,[0.0; 0.0; 0.0; 0.0; 0.0],0.8342614247087847,[0.7655674815177917; 0.8265114426612854; 0.4637005925178528; 0.9210261106491089; 0.8166300058364868]
41,0.5047194957733154,[0.0; 0.0; 0.0; 0.0; 0.0],0.818811437539887,[0.7668625116348267; 0.8263140320777893; 0.46214500069618225; 0.9172461628913879; 0.8218138813972473]
42,0.4929809391366988,[0.0; 0.0; 0.0; 0.0; 0.0],0.8568412316472906,[0.7721856832504272; 0.8349052667617798; 0.4760686755180359; 0.9211113452911377; 0.7955375909805298]
43,0.48617817945038244,[0.0; 0.0; 0.0; 0.0; 0.0],0.8423164350944653,[0.7839207649230957; 0.8473873138427734; 0.4799726605415344; 0.9260618090629578; 0.8208968639373779]
44,0.4777729488234909,[0.0; 0.0; 0.0; 0.0; 0.0],0.8799609855601662,[0.7734177112579346; 0.8477320671081543; 0.47790777683258057; 0.9275370836257935; 0.8101072907447815]
45,0.4697793922150635,[0.0; 0.0; 0.0; 0.0; 0.0],0.8471756671604357,[0.781438946723938; 0.8456131815910339; 0.4707154929637909; 0.9224377870559692; 0.8088060021400452]
46,0.4540250978327745,[0.0; 0.0; 0.0; 0.0; 0.0],0.8568999850959108,[0.7791650891304016; 0.8326033353805542; 0.45002055168151855; 0.9212252497673035; 0.8158847093582153]
47,0.4549886335600291,[0.0; 0.0; 0.0; 0.0; 0.0],0.8385326883249116,[0.7742123603820801; 0.8340160846710205; 0.48361361026763916; 0.9198558330535889; 0.817138671875]
48,0.446117862236684,[0.0; 0.0; 0.0; 0.0; 0.0],0.8327553680068568,[0.7933626174926758; 0.8499739170074463; 0.46735382080078125; 0.9244399070739746; 0.8202483654022217]
49,0.4408380710262863,[0.0; 0.0; 0.0; 0.0; 0.0],0.8177249828974406,[0.7893033623695374; 0.8447734117507935; 0.5155295133590698; 0.9245748519897461; 0.8200966715812683]
50,0.4326382999125432,[0.0; 0.0; 0.0; 0.0; 0.0],0.875792003514474,[0.7871969938278198; 0.8486664295196533; 0.4871924817562103; 0.9161132574081421; 0.8138474822044373]
51,0.4265852837636244,[0.0; 0.0; 0.0; 0.0; 0.0],0.8958957435791952,[0.7912378311157227; 0.8568826913833618; 0.4804142415523529; 0.9233840107917786; 0.8151143789291382]
52,0.422011768581062,[0.0; 0.0; 0.0; 0.0; 0.0],0.8360410259481061,[0.7605531215667725; 0.837649941444397; 0.48848283290863037; 0.9239498972892761; 0.8279241919517517]
53,0.4128515396686579,[0.0; 0.0; 0.0; 0.0; 0.0],0.8226724486601981,[0.7710863947868347; 0.8281946778297424; 0.44850993156433105; 0.9244117736816406; 0.8245363831520081]
54,0.41055432363324873,[0.0; 0.0; 0.0; 0.0; 0.0],0.877217361801549,[0.7584381699562073; 0.8497831225395203; 0.4608277380466461; 0.9249714016914368; 0.8311901092529297]
55,0.41176561422432234,[0.0; 0.0; 0.0; 0.0; 0.0],0.8632624222521197,[0.767198920249939; 0.8554360270500183; 0.45419296622276306; 0.9237760305404663; 0.8265129327774048]
56,0.4139278997517053,[0.0; 0.0; 0.0; 0.0; 0.0],0.8466592295128003,[0.7700014114379883; 0.8471517562866211; 0.4947144091129303; 0.918918251991272; 0.8036423325538635]
57,0.3961995522970658,[0.0; 0.0; 0.0; 0.0; 0.0],0.8952761689821879,[0.7775052189826965; 0.8503286838531494; 0.46977365016937256; 0.9236695766448975; 0.8146194219589233]
58,0.38653824910949136,[0.0; 0.0; 0.0; 0.0; 0.0],0.8555557476846796,[0.7872411012649536; 0.8562814593315125; 0.5347650051116943; 0.9259424209594727; 0.8257603049278259]
