epoch,train_loss,train_eval,test_loss,test_eval
23,1.108777210675591,[0.0; 0.0; 0.0; 0.0; 0.0],1.067030710086488,[0.5721818804740906; 0.6818158626556396; 0.07021031528711319; 0.7939391732215881; 0.2682783901691437]
24,1.089580526678241,[0.0; 0.0; 0.0; 0.0; 0.0],1.0365671714146931,[0.5788699984550476; 0.6899860501289368; 0.06399030238389969; 0.8102695941925049; 0.34865689277648926]
25,1.0681822957845186,[0.0; 0.0; 0.0; 0.0; 0.0],1.0353510944466842,[0.5838353633880615; 0.6976572275161743; 0.06888153403997421; 0.8140112161636353; 0.372160941362381]
26,1.056315359821909,[0.0; 0.0; 0.0; 0.0; 0.0],0.9819090763727824,[0.5500695705413818; 0.7007259130477905; 0.06389997899532318; 0.8270355463027954; 0.5305442810058594]
27,1.0196934306858392,[0.0; 0.0; 0.0; 0.0; 0.0],0.9896496628460131,[0.5563441514968872; 0.6965533494949341; 0.07216601818799973; 0.8227146863937378; 0.5414246320724487]
28,1.0103690695288956,[0.0; 0.0; 0.0; 0.0; 0.0],0.9578978523873446,[0.548935055732727; 0.712127685546875; 0.07040952146053314; 0.8337758779525757; 0.5920804738998413]
29,0.9841083419770331,[0.0; 0.0; 0.0; 0.0; 0.0],0.9376536346318429,[0.5729236602783203; 0.7065242528915405; 0.07307617366313934; 0.8389707207679749; 0.5977426171302795]
30,0.960022063050049,[0.0; 0.0; 0.0; 0.0; 0.0],0.9234281590110377,[0.588445782661438; 0.7243843078613281; 0.07766680419445038; 0.8506327867507935; 0.6245296001434326]
31,0.9457714901065195,[0.0; 0.0; 0.0; 0.0; 0.0],0.9015717736461706,[0.5851250290870667; 0.718647837638855; 0.07603587210178375; 0.8395078182220459; 0.657342255115509]
32,0.9224518596731275,[0.0; 0.0; 0.0; 0.0; 0.0],0.9125768469091047,[0.5600997805595398; 0.72556471824646; 0.087042897939682; 0.8465548753738403; 0.6502904891967773]
